Feature,Value
222_subband_4_std,0.0027181114531862833
222_subband_4_var,7.388129871942448e-06
222_subband_4_q75,0.0012176382286819862
222_subband_4_q25,-0.0012940719040546323
222_subband_4_iqr,0.0025117101327366185
222_subband_4_cv,-370.4403763017261
222_subband_4_mean_abs,0.0019467477444540893
222_subband_4_rms,0.002714049292429522
222_subband_4_crest,2.394597341667897
222_subband_4_clearance,4.617415333858333
222_subband_4_shape,1.3941453381216584
222_subband_4_impulse,3.3384167205648145
222_subband_4_skewness,0.025902729262500906
222_subband_4_kurtosis,0.21319404110050133
222_subband_4_zero_crossing_rate,0.7837837837837838
222_subband_4_median,5.7412129694389924e-05
222_subband_4_mad,0.0012766124611930546
222_subband_4_energy,0.002460265229620221
222_subband_4_entropy,4.941299481448737
222_subband_5_max,0.008729216548562888
222_subband_5_min,-0.007444759126924852
222_subband_5_peak,0.008729216548562888
222_subband_5_peak2peak,0.01617397567548774
222_subband_5_mean,-6.798012691178562e-05
222_subband_5_std,0.003726936062103987
222_subband_5_var,1.3890052411011175e-05
222_subband_5_q75,0.0019051926943409031
222_subband_5_q25,-0.0025544573701229653
222_subband_5_iqr,0.004459650064463868
222_subband_5_cv,-54.82390562377508
222_subband_5_mean_abs,0.0028458921096890556
222_subband_5_rms,0.003721973498750309
222_subband_5_crest,2.345319371965924
222_subband_5_clearance,3.9744997373969997
222_subband_5_shape,1.3078406894198722
222_subband_5_impulse,3.0673041043416958
222_subband_5_skewness,0.406302304041691
222_subband_5_kurtosis,-0.26588274982541815
222_subband_5_zero_crossing_rate,0.7972972972972973
222_subband_5_median,-0.0002101533263844946
222_subband_5_mad,0.002297790325972034
222_subband_5_energy,0.004626930966283471
222_subband_5_entropy,5.240514993663561
222_subband_6_max,0.003697264573315596
222_subband_6_min,-0.0037196061333559394
222_subband_6_peak,0.0037196061333559394
222_subband_6_peak2peak,0.007416870706671535
222_subband_6_mean,7.160326766490877e-07
222_subband_6_std,0.001472443033405521
222_subband_6_var,2.1680884866244517e-06
222_subband_6_q75,0.0006968539356983445
222_subband_6_q25,-0.0007809923614009199
222_subband_6_iqr,0.0014778462970992646
222_subband_6_cv,2056.3908344187676
222_subband_6_mean_abs,0.0010902533675930643
222_subband_6_rms,0.0014702372993612837
222_subband_6_crest,2.529935905565619
222_subband_6_clearance,4.511963365323253
222_subband_6_shape,1.3485280972872427
222_subband_6_impulse,3.4116896529910816
222_subband_6_skewness,0.09443103655009538
222_subband_6_kurtosis,-0.05492515970243783
222_subband_6_zero_crossing_rate,0.7987987987987988
222_subband_6_median,-8.053763787672619e-06
222_subband_6_mad,0.0007624291203866311
222_subband_6_energy,0.0007219736372886757
222_subband_6_entropy,5.093637756334777
222_subband_7_max,0.005652902807657958
222_subband_7_min,-0.004416604820347134
222_subband_7_peak,0.005652902807657958
222_subband_7_peak2peak,0.010069507628005092
222_subband_7_mean,-5.309817680367674e-05
222_subband_7_std,0.0021030049645111644
222_subband_7_var,4.422629880758603e-06
222_subband_7_q75,0.000858209288206314
222_subband_7_q25,-0.0010071472165328818
222_subband_7_iqr,0.0018653565047391958
